producer_not_harmonized,producer_harmonized,producer_type
"dreallorraine (direction regionale de l'environnement, de l'amenagement et du logement lorraine)",DREAL Lorraine,
drealmidi-pyrenees,DREAL Midi-Pyrénées,
"drealmidi-pyrenees (direction regionale de l'environnement, de l'amenagement et du logement midi-pyrenees)",DREAL Midi-Pyrénées,
drealmidi-pyrenees (sig),DREAL Midi-Pyrénées,
drealmidi-pyrenees scec-dsi,DREAL Midi-Pyrénées,
drealmp unite sig,DREAL Midi-Pyrénées,
drealmp/scec/dsi,DREAL Midi-Pyrénées,
drealn-pdc,DREAL Nord-Pas-de-Calais,
drealn-pdc (direction regionale de l'environnement de l'amenagement et du logement du nord - pas de calais),DREAL Nord-Pas-de-Calais,
"drealn-pdc (direction regionale de l'environnement, de l'amenagement et du logement du nord - pas de calais)",DREAL Nord-Pas-de-Calais,
drealnord pas-de-calais,DREAL Nord-Pas-de-Calais,
drealnord-pas de calais,DREAL Nord-Pas-de-Calais,
drealnormandie,DREAL Normandie,
drealnouvelle-aquitaine,DREAL Nouvelle-Aquitaine,
drealoccitanie,DREAL Occitanie,
drealpays de la loire,DREAL Pays de la Loire,
"drealpays de la loire (direction regionale de l'environnement, de l'amenagement et du logement pays de la loire)",DREAL Pays de la Loire,
"drealpays de la loire (direction regionale de l'environnement, de l'amenagement et du logement paysde la loire)",DREAL Pays de la Loire,
drealpicardie,DREAL Picardie,
drealpicardie / service sig,DREAL Picardie,
drealpicardie / service snep,DREAL Picardie,
drealpoitou-charentes,DREAL Poitou-Charentes,
drealpoitou-charentes/srtn,DREAL Poitou-Charentes,
drealrhone-alpes,DREAL Rhône-Alpes,
la dreal de basse-normandie,DREAL Basse-Normandie,
medde/dreal languedoc-roussillon,DREAL Languedoc-Roussillon,
sig-dsi.scec.dreal-midi-pyrenees,DREAL Midi-Pyrénées,
unite sig dreal midi-pyrenees,DREAL Midi-Pyrénées,
unite sig drealmidi-pyrenees,DREAL Midi-Pyrénées,
unite sigdreal midi-pyrenees,DREAL Midi-Pyrénées,
unitesig dreal midi-pyrenees,DREAL Midi-Pyrénées,
"daaf 972 (direction de l'alimentation, de l'agriculture et de la foret de la martinique)",DAAF Martinique,
"daaf 972 (direction de l'alimentation, de l'agriculture et de laforet de la martinique)",DAAF Martinique,
"daaf 972 (direction de l'alimentation, del'agriculture et de la foret de la martinique)",DAAF Martinique,
"daaf 972 (directionde l'alimentation, de l'agriculture et de la foret de la martinique)",DAAF Martinique,
daaf de guyane,DAAF Guyane,
daaf de martinique,DAAF Martinique,
daaf guadeloupe,DAAF Guadeloupe,
daaf guyane,DAAF Guyane,
daaf la reunion,DAAF Réunion,
daaf mayotte,DAAF Mayotte,
daaf mayotte/unite fonciere et amenagement du territoire,DAAF Mayotte,
daafguyane,DAAF Guyane,
daafmayotte,DAAF Mayotte,
daafmayotte/unite fonciere et amenagement du territoire,DAAF Mayotte,
"direction de l'alimentation, de l'agriculture et de la foret de la martinique (daaf 972)",DAAF Martinique,
"direction de l'alimentation, de l'agriculture et de la foret de lamartinique (daaf 972)",DAAF Martinique,
"direction de l'alimentation, del'agriculture et de la foret de la martinique (daaf 972)",DAAF Martinique,
"direction regionale de l'agriculture, de l'agroalimentaire et de la foret de midi-pyrenees",DRAAF Midi-Pyrénées,
direction regionale de l'alimentation de l'agriculture  et de la foret poitou-charentes,DRAAF Poitou-Charentes,
direction regionale de l'alimentation de l'agriculture et de la foret (draaf auvergne),DRAAF Auvergne,
"direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine",DRAAF Aquitaine,
"direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine (draaf)",DRAAF Aquitaine,
"direction regionale de l'alimentation, de l'agriculture et dela foret d'aquitaine",DRAAF Aquitaine,
"direction regionale de l'alimentation, l'agriculture et de la foret du nord - pas de calais",DRAAF Nord-Pas-de-Calais,
"directionde l'alimentation, de l'agriculture et de la foret de la martinique (daaf 972)",DAAF Martinique,
draaf  rhone-alpes,DRAAF Rhône-Alpes,
draaf (direction regionale de l'agriculture et de la foret centre-val de loire),DRAAF Centre-Val de Loire,
"draaf 52 (direction regionale de l’alimentation, de l’agriculture et de la foret des pays de la loire)",DRAAF Pays de la Loire,
draaf aquitaine,DRAAF Aquitaine,
draaf aquitaine - srea (service regional de l'economie agricole),DRAAF Aquitaine,
draaf aquitaine - sriset (service regional de l'information statistique economique et territoriale),DRAAF Aquitaine,
draaf aquitaine - sriset (service regional de l'informationstatistique economique et territoriale),DRAAF Aquitaine,
"draaf aquitaine (direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Aquitaine,
"draaf aquitaine (direction regionale de l'alimentation, de l'agriculture et de la foretd'aquitaine)",DRAAF Aquitaine,
"draaf aquitaine (direction regionale de l'alimentation, de l'agriculture et dela foret d'aquitaine)",DRAAF Aquitaine,
"draaf aquitaine (direction regionale de l'alimentation, de l'agricultureet de la foret d'aquitaine)",DRAAF Aquitaine,
"draaf aquitaine (direction regionale de l'alimentation, del'agriculture et de la foret d'aquitaine)",DRAAF Aquitaine,
draaf aquitaine (srfob),DRAAF Aquitaine,
draaf aquitaine (sriset),DRAAF Aquitaine,
"draaf aquitaine limousin poitou charentes (direction regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (direction regionale de l'alimentation, de l'agriculture et dela foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (direction regionale de l'alimentation, de l'agricultureet de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (direction regionale de l'alimentation,de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale de l'alimentation, de l'agriculture et de laforet)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale de l'alimentation, de l'agriculture et dela foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale de l'alimentation, de l'agriculture etde la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale de l'alimentation,de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirection regionale del'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes (rirectionregionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foretd'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de laforet d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et dela foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture etde la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agricultureet de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation, del'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale de l'alimentation,de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionale del'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(direction regionalede l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(directionregionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitou charentes(rirection regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitoucharentes (rirection regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousin poitoucharentes(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousinpoitou charentes (rirection regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine limousinpoitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf aquitaine(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Aquitaine,
"draaf aquitainelimousin poitou charentes (direction regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitainelimousin poitou charentes (rirection regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
"draaf aquitainelimousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draaf auvergne (direction regionale de l'alimentation, de l'agriculture et de la foret auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale de l'alimentation, de l'agriculture et de laforet auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale de l'alimentation, de l'agriculture et dela foret auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale de l'alimentation, de l'agriculture etde la foret auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale de l'alimentation, del'agriculture et de la foret auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale de l'alimentation,de l'agriculture et de la foret auvergne)",DRAAF Auvergne,
"draaf auvergne (direction regionale del'alimentation, de l'agriculture et de la foret auvergne)",DRAAF Auvergne,
"draaf auvergne (directionregionale de l'alimentation, de l'agriculture et de la foret auvergne)",DRAAF Auvergne,
draaf auvergne-rhone-alpes,DRAAF Auvergne-Rhône-Alpes,
draaf basse-normandie,DRAAF Basse-Normandie,
draaf bretagne,DRAAF Bretagne,
draaf centre,DRAAF Centre-Val de Loire,
draaf centre-val de loire,DRAAF Centre-Val de Loire,
draaf centre-val deloire,DRAAF Centre-Val de Loire,
"draaf de corse (direction regionale de l'alimentation, de l'agriculture et de la foret de corse",DRAAF Corse,
draaf du limousin,DRAAF Limousin,
draaf du nord-pas-de-calais,DRAAF Nord-Pas-de-Calais,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture et de la foret defranche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture et de la foretde franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture et de laforet de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture et dela foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agriculture etde la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, de l'agricultureet de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation, del'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale de l'alimentation,de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionale del'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (direction regionalede l'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte (directionregionale de l'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf franche-comte(direction regionale de l'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draaf haute-normandie (direction regionale de l'alimentation, de l'agriculture et de la foret de haute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie (direction regionale de l'alimentation, de l'agriculture et de la foret dehaute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie (direction regionale de l'alimentation, de l'agriculture et de la foretde haute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie (direction regionale de l'alimentation, de l'agriculture et de laforet de haute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie (direction regionale de l'alimentation, de l'agriculture et dela foret de haute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie (direction regionale de l'alimentation,de l'agriculture et de la foret de haute-normandie)",DRAAF Haute-Normandie,
"draaf haute-normandie(direction regionale de l'alimentation, de l'agriculture et de la foret de haute-normandie)",DRAAF Haute-Normandie,
draaf ile de france /srise,DRIAAF Île-de-France,
draaf languedoc-roussillon,DRAAF Languedoc-Roussillon,
draaf languedoc-roussillon midi-pyrenees,DRAAF Occitanie,
draaf languedoc-roussillon-midi-pyrenees,DRAAF Occitanie,
"draaf languedoc-roussillon-midi-pyrenees (direction regionale de l'alimentation, de l'agriculture et de la foret languedoc-roussillon-midi-pyrenees)",DRAAF Occitanie,
draaf limousin,DRAAF Limousin,
draaf limousin - siset,DRAAF Limousin,
draaf limousin - sriset,DRAAF Limousin,
draaf limousin -siset,DRAAF Limousin,
draaf limousin -sriset,DRAAF Limousin,
draaf limousin- siset,DRAAF Limousin,
draaf limousin- sriset,DRAAF Limousin,
"draaf lorraine (direction regionale de l'alimentation, de l'agriculture et de la foret de lorraine)",DRAAF Lorraine,
"draaf lorraine (direction regionale de l'alimentation, de l'agriculture etde la foret de lorraine)",DRAAF Lorraine,
"draaf lorraine (direction regionale de l'alimentation, de l'agricultureet de la foret de lorraine)",DRAAF Lorraine,
"draaf lorraine (direction regionale de l'alimentation,de l'agriculture et de la foret de lorraine)",DRAAF Lorraine,
"draaf lorraine (direction regionalede l'alimentation, de l'agriculture et de la foret de lorraine)",DRAAF Lorraine,
"draaf lorraine (directionregionale de l'alimentation, de l'agriculture et de la foret de lorraine)",DRAAF Lorraine,
draaf lr,DRAAF Languedoc-Roussillon,
draaf midi-pyrenees,DRAAF Midi-Pyrénées,
"draaf midi-pyrenees (direction regionale de l'alimentation, de l'agriculture et de la foret midi-pyrenees)",DRAAF Midi-Pyrénées,
"draaf midi-pyrenees (direction regionale de l'alimentation, de l'agriculture et dela foret midi-pyrenees)",DRAAF Midi-Pyrénées,
"draaf midi-pyrenees (direction regionale de l'alimentation,de l'agriculture et de la foret midi-pyrenees)",DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agriculture et de la foretmidi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agriculture et de laforet midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agriculture et dela foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agriculture etde la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation de l’agricultureet de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentation del’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale de l’alimentationde l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (direction regionale del’alimentation de l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees (directionregionale de l’alimentation de l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draaf midi-pyrenees(direction regionale de l’alimentation de l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
"draaf normandie (direction regionale de l'alimentation, de l'agriculture et de la foret de normandie)",DRAAF Normandie,
"draaf normandie (direction regionale de l'alimentation, de l'agriculture et dela foret de normandie)",DRAAF Normandie,
"draaf normandie (direction regionale del'alimentation, de l'agriculture et de la foret de normandie)",DRAAF Normandie,
"draaf nouvelle-aquitaine (direction regionale de l'alimentation, de l'agriculture et de la foret)",DRAAF Nouvelle-Aquitaine,
draaf paca,DRAAF Provence-Alpes-Côte d'Azur,
draaf paca / srise / pole sig,DRAAF Provence-Alpes-Côte d'Azur,
draaf paca /srise / pole sig,DRAAF Provence-Alpes-Côte d'Azur,
draaf pays de la loire,DRAAF Pays de la Loire,
draaf pays de la loire - srise - sig,DRAAF Pays de la Loire,
draaf pays de la loire - srise -sig,DRAAF Pays de la Loire,
draaf pays de la loire - srise- sig,DRAAF Pays de la Loire,
draaf pays de la loire -srise - sig,DRAAF Pays de la Loire,
draaf pays de laloire - srise - sig,DRAAF Pays de la Loire,
draaf pays de loire - srise,DRAAF Pays de la Loire,
draaf pays de loire -srise,DRAAF Pays de la Loire,
draaf pays de loire- srise,DRAAF Pays de la Loire,
draaf pays dela loire - srise - sig,DRAAF Pays de la Loire,
draaf pays dela loire - srise -sig,DRAAF Pays de la Loire,
draaf pays deloire - srise,DRAAF Pays de la Loire,
draaf paysde la loire,DRAAF Pays de la Loire,
draaf paysde la loire - srise - sig,DRAAF Pays de la Loire,
"draaf picardie  (direction regionale de l'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (direction regionale de l'alimentation, de l'agriculture et de la foretde picardie)",DRAAF Picardie,
"draaf picardie  (direction regionale de l'alimentation, de l'agriculture etde la foret de picardie)",DRAAF Picardie,
"draaf picardie  (direction regionale de l'alimentation, de l'agricultureet de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (direction regionale de l'alimentation, del'agriculture et de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (direction regionale del'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (direction regionalede l'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (directionregionale de l'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
"draaf picardie  (directionregionale de l'alimentation, de l'agriculture et de la foretde picardie)",DRAAF Picardie,
draaf picardie - srise,DRAAF Picardie,
"draaf picardie(direction regionale de l'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
draaf poitou-charentes,DRAAF Poitou-Charentes,
draaf rhone-alpes,DRAAF Rhône-Alpes,
"draaf-alsace (direction regionale de l'alimentation, de l'agriculture et de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale de l'alimentation, de l'agriculture et dela foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale de l'alimentation, de l'agriculture etde la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale de l'alimentation, de l'agricultureet de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale de l'alimentation, del'agriculture et de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale de l'alimentation,de l'agriculture et de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (direction regionale del'alimentation, de l'agriculture et de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace (directionregionale de l'alimentation, de l'agriculture et de la foret d'alsace)",DRAAF Alsace,
"draaf-alsace(direction regionale de l'alimentation, de l'agriculture et de la foret d'alsace)",DRAAF Alsace,
draaf-aquitaine,DRAAF Aquitaine,
draaf-auvergne-rhone-alpes (draaf auvergne-rhone-alpes (lyon)),DRAAF Auvergne-Rhône-Alpes,
draaf-auvergne-rhone-alpes (draaf rhone-alpes (lyon)),DRAAF Auvergne-Rhône-Alpes,
draaf-bourgogne (draaf bourgogne(dijon)),DRAAF Bourgogne,
draaf-bourgogne(draaf bourgogne(dijon)),DRAAF Bourgogne,
draaf-occitanie (direction regionale de l’alimentation de l’agriculture et de la foret occitanie),DRAAF Occitanie,
draaf-rhone-alpes,DRAAF Rhône-Alpes,
draaf-rhone-alpes (draaf rhone-alpes (lyon)),DRAAF Rhône-Alpes,
draafaquitaine,DRAAF Aquitaine,
"draafaquitaine (direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Aquitaine,
"draafaquitaine limousin poitou charentes(direction regionale de l'alimentation, de l'agriculture et de la foret d'aquitaine)",DRAAF Nouvelle-Aquitaine,
"draafauvergne (direction regionale de l'alimentation, de l'agriculture et de la foret auvergne)",DRAAF Auvergne,
draafbasse-normandie,DRAAF Basse-Normandie,
draafbretagne,DRAAF Bretagne,
draafcentre,DRAAF Centre-Val de Loire,
draafcentre-val de loire,DRAAF Centre-Val de Loire,
draafdu limousin,DRAAF Limousin,
"draaffranche-comte (direction regionale de l'alimentation, de l'agriculture et de la foret de franche-comte)",DRAAF Franche-Comté,
"draafhaute-normandie (direction regionale de l'alimentation, de l'agriculture et de la foret de haute-normandie)",DRAAF Haute-Normandie,
draaflanguedoc-roussillon,DRAAF Languedoc-Roussillon,
draaflanguedoc-roussillon-midi-pyrenees,DRAAF Occitanie,
draaflimousin,DRAAF Limousin,
draaflimousin - siset,DRAAF Limousin,
"draaflorraine (direction regionale de l'alimentation, de l'agriculture et de la foret de lorraine)",DRAAF Lorraine,
draafmidi-pyrenees,DRAAF Midi-Pyrénées,
draafmidi-pyrenees (direction regionale de l’alimentation de l’agriculture et de la foret midi-pyrenees),DRAAF Midi-Pyrénées,
draafpays de la loire,DRAAF Pays de la Loire,
draafpays de la loire - srise - sig,DRAAF Pays de la Loire,
draafpays de loire - srise,DRAAF Pays de la Loire,
"draafpicardie  (direction regionale de l'alimentation, de l'agriculture et de la foret de picardie)",DRAAF Picardie,
draafpicardie - srise,DRAAF Picardie,
draafrhone-alpes,DRAAF Rhône-Alpes,
"driaaf ile de france (direction regionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ile de france (direction regionale et interdepartementale de l'alimentation, de l'agriculture etde la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ile de france (direction regionale etinterdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ile de france (directionregionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ile de france(direction regionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ile defrance (direction regionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaaf ilede france (direction regionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
"driaafile de france (direction regionale et interdepartementale de l'alimentation, de l'agriculture et de la foret d'ile-de-france)",DRIAAF Île-de-France,
sral - psf - draaf aquitaine,DRAAF Aquitaine,
sral-draaf alsace,DRAAF Alsace,
sreaf-draaf alsace,DRAAF Alsace,
sreaf-draafalsace,DRAAF Alsace,
-- Nom de l'organisation responsable --,-,90 Non rempli & Erreurs probables
-- Nom de l'organisation responsable de la série de données --,-,90 Non rempli & Erreurs probables
-- Nom de l'organisation responsable du service --,-,90 Non rempli & Erreurs probables
-- Nom de l'organisme --,-,90 Non rempli & Erreurs probables
-- Nom de l'organisme propriétaire de la donnée --,-,90 Non rempli & Erreurs probables
-- Organisation --,-,90 Non rempli & Erreurs probables
-- organisation responsable de la ressource --,-,90 Non rempli & Erreurs probables
-- organisation responsable de la ressource              --,-,90 Non rempli & Erreurs probables
-- organisation responsable de la ressource              --,-,90 Non rempli & Erreurs probables
-- Organisation responsable du service --,-,90 Non rempli & Erreurs probables
"###Paramètre ""organisme"" dans la fonction ""Services INSPIRE""",-,90 Non rempli & Erreurs probables
{{organisationName}},-,90 Non rempli & Erreurs probables
DENOMINATIONS GEOGRAPHIQUE,DENOMINATIONS GEOGRAPHIQUE,90 Non rempli & Erreurs probables
État,État,90 Non rempli & Erreurs probables
Exécutant,Exécutant,90 Non rempli & Erreurs probables
GeoNetwork opensource,GeoNetwork opensource,90 Non rempli & Erreurs probables
GeoSource organisation,GeoSource organisation,90 Non rempli & Erreurs probables
Mon organisation,-,90 Non rempli & Erreurs probables
nom de l'organisme propriétaire de cette ressource,-,90 Non rempli & Erreurs probables
None,-,90 Non rempli & Erreurs probables
Organisme,Organisme,90 Non rempli & Erreurs probables
propriétaires de la parcelle d'implantation des fossés,propriétaires de la parcelle d'implantation des fossés,90 Non rempli & Erreurs probables
propriétaires des îlots ayant subi des dégâts de scolytes,propriétaires des îlots ayant subi des dégâts de scolytes,90 Non rempli & Erreurs probables
provider name,provider name,90 Non rempli & Erreurs probables
supervision1,supervision1,90 Non rempli & Erreurs probables
supervision3,supervision3,90 Non rempli & Erreurs probables
Test,Test,90 Non rempli & Erreurs probables
toi,-,90 Non rempli & Erreurs probables
producer_not_harmonized,producer_harmonized,producer_type
adlddtdeureetloir,DDT Eure-et-Loir,
administrateurdedonneeslocalisesdeladdtdemeurtheetmoselle,DDT Meurthe-et-Moselle,
bureausigcentralddt38,DDT Isère,
dddtdelain,DDT Ain,
ddt01,DDT Ain,
ddt01directiondepartementaledesterritoiresdelain,DDT Ain,
ddt02,DDT Aisne,
ddt03,DDT Allier,
ddt03directiondepartementaledesterritoiresdelallier,DDT Allier,
ddt04,DDT Alpes-de-Haute-Provence,
ddt04directiondepartementaledesterritoiresdesalpesdehauteprovence,DDT Alpes-de-Haute-Provence,
ddt05,DDT Hautes-Alpes,
ddt05directiondepartementaledesterritoiresdeshautesalpes,DDT Hautes-Alpes,
ddt07,DDT Ardèche,
ddt079directiondepartementaledesterritoiresdesdeuxsevres,DDT Deux-Sèvres,
ddt07directiondepartementaledesterritoiresdelardeche,DDT Ardèche,
ddt08,DDT Ardennes,
ddt08directiondepartementaledesterritoiresdesardennes,DDT Ardennes,
ddt09,DDT Ariège,
ddt090,DDT Territoire de Belfort,
ddt09directiondepartementaledesterritoiresdelariege,DDT Ariège,
ddt10,DDT Aube,
ddt10directiondepartementaledesterritoiresdelaube,DDT Aube,
ddt12,DDT Aveyron,
ddt12directiondepartementaledesterritoiresdelaveyron,DDT Aveyron,
ddt15,DDT Cantal,
ddt15directiondepartementaledesterritoiresducantal,DDT Cantal,
ddt15directiondepartementaledesterritoiresducantalserviceconnaissanceamenagementdeveloppement,DDT Cantal,
ddt15directiondepartementaledesterritoiresducantalserviceeconomieagricole,DDT Cantal,
ddt15directiondepartementaledesterritoiresducantalserviceenvironnement,DDT Cantal,
ddt15directiondepartementaledesterritoiresducantalservicehabitatlogement,DDT Cantal,
ddt16,DDT Charente,
ddt16directiondepartementaledesterritoiresdecharente,DDT Charente,
ddt18,DDT Cher,
ddt18directiondepartementaledesterritoiresducher,DDT Cher,
ddt19,DDT Corrèze,
ddt19directiondepartementaledesterritoiresdelacorreze,DDT Corrèze,
ddt19saetuact,DDT Corrèze,
ddt19scosatuact,DDT Corrèze,
ddt21,DDT Côte-d'Or,
ddt21directiondepartementaledesterritoiresdecotedor,DDT Côte-d'Or,
ddt23,DDT Creuse,
ddt23directiondepartementaledesterritoiresdelacreuse,DDT Creuse,
ddt23directiondepartemntaledesterritoiresdelacreuse,DDT Creuse,
ddt23msig,DDT Creuse,
